id,url,title,pagerank,document,total_words,unique_words,top_words,top_tfidf,avg_tfidf,final_score
0,https://vnexpress.net/cam-nang-du-lich-an-giang-4445399.html,Cẩm nang du lịch An Giang,0.0023805659404488345,0.txt,1008.0,488.0,"núi, an_giang, châu_đốc, mùa, du_khách, sông, đồng, chợ, đi, đặc_sản","châu_đốc, an_giang, long_xuyên, núi, sam",0.0025995759455980697,0.002533872944053299
1,https://vnexpress.net/cam-nang-du-lich-ba-na-hills-4866205.html,Cẩm nang du lịch Bà Nà Hills,0.004638671885597023,1.txt,1496.0,666.0,"nà, du_khách, hills, đồng, treo, khu, du_lịch, cáp, đà_nẵng, đỉnh","nà, hills, bql, cáp, treo",0.0022888292496490424,0.0029937820404334365
2,https://vnexpress.net/cam-nang-du-lich-bac-giang-4851082.html,Cẩm nang du lịch Bắc Giang,0.0,2.txt,1359.0,725.0,"bắc_giang, chùa, huyện, hà_nội, du_khách, đi, núi, làng, mùa, đồng","bắc_giang, chùa, bánh_đa, vải_thiều, bánh",0.0030146426529716074,0.002110249857080125
3,https://vnexpress.net/cam-nang-du-lich-binh-thuan-4749039.html,Cẩm nang du lịch Bình Thuận,0.0030935795974841493,3.txt,1305.0,625.0,"biển, mũi, bình_thuận, né, du_lịch, đảo, du_khách, phú_quý, cá, đồng","né, bình_thuận, phú_quý, mũi, đảo",0.0029052095643950244,0.0029617205743217613
4,https://vnexpress.net/cam-nang-du-lich-binh-dinh-4729689.html,Cẩm nang du lịch Bình Định,0.004164759398078523,4.txt,1776.0,840.0,"quy_nhơn, bình_định, biển, đồng, thành_phố, du_lịch, km, du_khách, giá, khu","quy_nhơn, bình_định, bánh_ít, quy_nhon, đồng",0.002890032175878216,0.0032724503425383077
5,https://vnexpress.net/cam-nang-du-lich-binh-duong-4677956.html,Cẩm nang du lịch Bình Dương,0.0,5.txt,1864.0,926.0,"bình_dương, món, du_khách, măng_cụt, tp, khu, dầu, hcm, tiếng, gà","bình_dương, măng_cụt, thủ_dầu, dầu, lươn",0.003511985248499144,0.0024583896739494007
6,https://vnexpress.net/cam-nang-du-lich-binh-phuoc-4667906.html,Cẩm nang du lịch Bình Phước,0.0,6.txt,1595.0,769.0,"bình_phước, rừng, món, du_lịch, huyện, thác, đồng_xoài, đi, núi, chùa","bình_phước, đồng_xoài, cao_su, trảng, bù_gia_mập",0.00304940853061526,0.002134585971430682
7,https://vnexpress.net/cam-nang-du-lich-bac-kan-4659738.html,Cẩm nang du lịch Bắc Kạn,0.006019379652219114,7.txt,1212.0,627.0,"hồ, bể, bắc_kạn, du_lịch, du_khách, bắc, thành_phố, km, xã, khu","bể, bắc_kạn, hồ, kạn, sam",0.0026995404864361117,0.0036954922361710123
8,https://vnexpress.net/cam-nang-du-lich-bao-loc-4643396.html,Cẩm nang du lịch Bảo Lộc,0.0,8.txt,1193.0,544.0,"bảo_lộc, du_khách, thành_phố, chè, trung_tâm, du_lịch, km, khu, thác, dambri","bảo_lộc, dambri, chè, thác, lâm_đồng",0.002027333841540503,0.001419133689078352
9,https://vnexpress.net/cam-nang-du-lich-ba-ria-vung-tau-4479713.html,Cẩm nang du lịch Bà Rịa - Vũng Tàu,0.01177706734324228,9.txt,2262.0,995.0,"biển, vũng_tàu, du_khách, bà_rịa, món, núi, chùa, đường, rừng, đi","bà_rịa, vũng_tàu, biển, súng, du_khách",0.003581756150359888,0.006040349508224605
10,https://vnexpress.net/cam-nang-du-lich-binh-lieu-4473563.html,Cẩm nang du lịch Bình Liêu,0.004279839219491681,10.txt,1074.0,541.0,"bình_liêu, đi, núi, mốc, mùa, đường, du_khách, thác, quảng_ninh, cột","bình_liêu, mốc, quảng_ninh, cột, lau",0.001966052038444532,0.002660188192758676
11,https://vnexpress.net/cam-nang-du-lich-ba-vi-4468415.html,Cẩm nang du lịch Ba Vì,0.000903010207742674,11.txt,1743.0,784.0,"khu, đồng, du_lịch, du_khách, đi, núi, rừng, hà_nội, vườn, quốc_gia","khu, đồng, mô, du_khách, rừng",0.0034783871758136344,0.002705774085392346
12,https://vnexpress.net/cam-nang-du-lich-bac-ninh-4462126.html,Cẩm nang du lịch Bắc Ninh,0.0,12.txt,1309.0,686.0,"bắc_ninh, làng, chùa, đình, bánh, ảnh, du_lịch, vị, du_khách, tỉnh","bắc_ninh, làng, kinh_bắc, đình, phù_lãng",0.0030214787831986667,0.0021150351482390663
13,https://vnexpress.net/cam-nang-du-lich-binh-ba-4449076.html,Cẩm nang du lịch Bình Ba,0.000903010207742674,13.txt,1199.0,555.0,"đảo, biển, bãi, bình_ba, đi, bình, du_khách, du_lịch, giá, đồng","bình_ba, đảo, tôm_hùm, bãi, biển",0.0022761935716321684,0.00186423856246532
14,https://vnexpress.net/cam-nang-du-lich-bac-lieu-4447282.html,Cẩm nang du lịch Bạc Liêu,0.0,14.txt,1431.0,735.0,"bạc_liêu, du_khách, đồng, cánh, đi, lễ_hội, thành_phố, giá, biển, km","bạc_liêu, ba_khía, bồn, công_tử, đồng",0.002861261352837077,0.0020028829469859537
15,https://vnexpress.net/cam-nang-du-lich-ben-tre-4447138.html,Cẩm nang du lịch Bến Tre,0.0,15.txt,1127.0,555.0,"bến_tre, dừa, du_khách, miền, dân, ảnh, du_lịch, sông, thưởng_thức, cồn","bến_tre, dừa, cồn, làng_nghề, trái_cây",0.0026926401854392708,0.0018848481298074894
16,https://vnexpress.net/cam-nang-du-lich-buon-ma-thuot-4190200.html,Cẩm nang du lịch Buôn Ma Thuột,0.006019379652219114,16.txt,1561.0,759.0,"buôn_ma_thuột, cà_phê, ảnh, thành_phố, du_lịch, du_khách, đăk, lăk, đường, đồng","buôn_ma_thuột, cà_phê, lăk, đăk, tưới",0.0028481430624454607,0.0037995140393775567
17,https://vnexpress.net/cam-nang-du-lich-chua-bai-dinh-4833152.html,Cẩm nang du lịch Chùa Bái Đính,0.004638671885597023,17.txt,1505.0,679.0,"chùa, bái, đính, m, tượng, du_khách, điện, phật, đồng, núi","đính, bái, chùa, m, tượng",0.00210868619053827,0.002867681899055896
18,https://vnexpress.net/cam-nang-du-lich-tam-chuc-4822957.html,Cẩm nang du lịch Chùa Tam Chúc,0.006019379652219114,18.txt,1168.0,537.0,"tam_chúc, chùa, du_lịch, du_khách, điện, khu, xe, m, hồ, đi","tam_chúc, chùa, điện, thủy_đình, tam_quan",0.002001977341371943,0.003207198034626094
