title,url,source_file
Cẩm nang du lịch An Giang 2024: 12 địa điểm vui chơi phải trải nghiệm,https://vnexpress.net/cam-nang-du-lich-an-giang-4445399.html,0.html
"Cẩm nang Du lịch Bà Nà Hills 2025 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-ba-na-hills-4866205.html,1.html
"Cẩm nang Du lịch Bà Nà Hills 2025 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-da-nang-4470111.html,1.html
"Cẩm nang Du lịch BÌNH LIÊU 2025 từ A-Z: lưu trú, ăn chơi, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-binh-lieu-4473563.html,10.html
"Cẩm nang Du lịch BÌNH LIÊU 2025 từ A-Z: lưu trú, ăn chơi, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-quang-ninh-4479287.html,10.html
"Kinh nghiệm du lịch Sa Pa 2025 từ A-Z: di chuyển, ăn chơi, lưu trú...",https://vnexpress.net/cam-nang-du-lich-sa-pa-4108517.html,100.html
"Cẩm nang Du lịch Trà Vinh 2025 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-tra-vinh-4821602.html,101.html
"Cẩm nang Du lịch Tuyên Quang 2024, top 14 địa điểm phải trải nghiệm",https://vnexpress.net/cam-nang-du-lich-tuyen-quang-4691524.html,104.html
"Cẩm nang Du lịch Rừng tràm Trà Sư 2024 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-an-giang-4445399.html,105.html
"Cẩm nang Du lịch Rừng tràm Trà Sư 2024 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-rung-tram-tra-su-4665214.html,105.html
"Cẩm nang Du lịch Tà Xùa 2025 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-son-la-4720798.html,106.html
"Cẩm nang Du lịch Tà Xùa 2025 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-ta-xua-4656282.html,106.html
"Cẩm nang Du lịch Trạm Tấu 2025 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-tu-le-4472621.html,107.html
"Cẩm nang Du lịch Trạm Tấu 2025 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-yen-bai-4701574.html,107.html
